trip_id,time_s,phase,lon_deg,lat_deg,altitude_m,payload_kg
T034,8685.375373263589,巡航,109.23152736461539,23.014909367692308,398.2391662597656,0.0
T034,8695.266009736815,巡航,109.23141475384615,23.013842723076923,398.2391662597656,0.0
T034,8705.156646210044,巡航,109.23130214307693,23.01277607846154,398.2391662597656,0.0
T034,8715.04728268327,巡航,109.2311895323077,23.011709433846153,398.2391662597656,0.0
T034,8724.937919156497,巡航,109.23107692153846,23.01064278923077,398.2391662597656,0.0
T034,8734.828555629725,巡航,109.23096431076924,23.009576144615384,398.2391662597656,0.0
T034,8744.719192102952,巡航,109.2308517,23.0085095,398.2391662597656,0.0
T034,8744.719192102952,下降,109.2308517,23.0085095,398.2391662597656,0.0
T034,8754.556979966943,下降,109.2308517,23.0085095,373.6446965997869,0.0
T034,8764.394767830934,下降,109.2308517,23.0085095,349.0502269398082,0.0
T034,8774.232555694925,下降,109.2308517,23.0085095,324.4557572798295,0.0
T034,8784.070343558917,下降,109.2308517,23.0085095,299.8612876198508,0.0
T034,8793.908131422908,下降,109.2308517,23.0085095,275.2668179598721,0.0
T034,8803.745919286901,下降,109.2308517,23.0085095,250.67234829989346,0.0
T034,8813.583707150892,下降,109.2308517,23.0085095,226.07787863991476,0.0
T034,8823.421495014883,下降,109.2308517,23.0085095,201.48340897993606,0.0
T034,8833.259282878875,下降,109.2308517,23.0085095,176.88893931995736,0.0
T034,8843.097070742866,下降,109.2308517,23.0085095,152.29446965997866,0.0
T034,8852.934858606857,下降,109.2308517,23.0085095,127.69999999999999,0.0
T035,6803.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,6813.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,6823.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,6833.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,6843.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,6853.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,6863.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,6873.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,6883.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,6893.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,6903.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,6913.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,6923.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,6933.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,6943.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,6953.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,6963.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,6973.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,6983.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,6993.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,7003.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,7013.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,7023.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,7033.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,7043.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,7053.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,7063.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,7073.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,7083.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,7093.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,7103.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,7113.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,7123.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,7133.115508870498,准备装载,109.2308517,23.0085095,127.7,6.0
T035,7133.115508870498,爬升,109.2308517,23.0085095,127.7,6.0
T035,7143.0487521769755,爬升,109.2308517,23.0085095,157.4997299194336,6.0
T035,7152.981995483454,爬升,109.2308517,23.0085095,187.2994598388672,6.0
T035,7162.915238789932,爬升,109.2308517,23.0085095,217.09918975830078,6.0
T035,7172.8484820964095,爬升,109.2308517,23.0085095,246.8989196777344,6.0
T035,7182.781725402887,爬升,109.2308517,23.0085095,276.69864959716796,6.0
T035,7192.714968709365,爬升,109.2308517,23.0085095,306.4983795166016,6.0
T035,7202.6482120158435,爬升,109.2308517,23.0085095,336.2981094360352,6.0
T035,7212.581455322321,爬升,109.2308517,23.0085095,366.09783935546875,6.0
T035,7212.581455322321,巡航,109.2308517,23.0085095,366.09783935546875,6.0
T035,7222.236631620544,巡航,109.22943951363636,23.00847334090909,366.09783935546875,6.0
T035,7231.891807918767,巡航,109.22802732727273,23.00843718181818,366.09783935546875,6.0
T035,7241.5469842169905,巡航,109.22661514090909,23.008401022727273,366.09783935546875,6.0
T035,7251.202160515214,巡航,109.22520295454545,23.008364863636363,366.09783935546875,6.0
T035,7260.857336813437,巡航,109.22379076818181,23.008328704545452,366.09783935546875,6.0
T035,7270.51251311166,巡航,109.22237858181819,23.008292545454545,366.09783935546875,6.0
T035,7280.167689409883,巡航,109.22096639545455,23.008256386363634,366.09783935546875,6.0
T035,7289.822865708106,巡航,109.21955420909092,23.008220227272727,366.09783935546875,6.0
T035,7299.47804200633,巡航,109.21814202272728,23.00818406818182,366.09783935546875,6.0
T035,7309.133218304552,巡航,109.21672983636364,23.00814790909091,366.09783935546875,6.0
T035,7318.788394602776,巡航,109.21531765,23.008111749999998,366.09783935546875,6.0
T035,7328.4435709009995,巡航,109.21390546363637,23.00807559090909,366.09783935546875,6.0
T035,7338.098747199222,巡航,109.21249327727273,23.008039431818183,366.09783935546875,6.0
T035,7347.753923497446,巡航,109.21108109090909,23.008003272727272,366.09783935546875,6.0
T035,7357.409099795669,巡航,109.20966890454545,23.00796711363636,366.09783935546875,6.0
T035,7367.064276093892,巡航,109.20825671818181,23.007930954545454,366.09783935546875,6.0
T035,7376.719452392115,巡航,109.20684453181819,23.007894795454547,366.09783935546875,6.0
T035,7386.374628690338,巡航,109.20543234545455,23.007858636363636,366.09783935546875,6.0
T035,7396.029804988561,巡航,109.20402015909092,23.007822477272725,366.09783935546875,6.0
T035,7405.684981286785,巡航,109.20260797272728,23.007786318181818,366.09783935546875,6.0
T035,7415.340157585008,巡航,109.20119578636364,23.00775015909091,366.09783935546875,6.0
T035,7424.995333883231,巡航,109.1997836,23.007714,366.09783935546875,6.0
T035,7424.995333883231,下降,109.1997836,23.007714,366.09783935546875,6.0
T035,7431.835045797294,下降,109.1997836,23.007714,348.9985595703125,6.0
T035,7438.6747577113565,下降,109.1997836,23.007714,331.89927978515624,6.0
T035,7445.514469625419,下降,109.1997836,23.007714,314.8,6.0
T035,7445.514469625419,交接,109.1997836,23.007714,314.8,6.0
T035,7455.514469625419,交接,109.1997836,23.007714,314.8,6.0
T035,7465.514469625419,交接,109.1997836,23.007714,314.8,6.0
T035,7475.514469625419,交接,109.1997836,23.007714,314.8,6.0
T035,7485.514469625419,交接,109.1997836,23.007714,314.8,6.0
T035,7495.514469625419,交接,109.1997836,23.007714,314.8,6.0
T035,7505.514469625419,交接,109.1997836,23.007714,314.8,6.0
T035,7515.514469625419,交接,109.1997836,23.007714,314.8,6.0
T035,7525.514469625419,交接,109.1997836,23.007714,314.8,6.0
T035,7535.514469625419,交接,109.1997836,23.007714,314.8,6.0
T035,7545.514469625419,交接,109.1997836,23.007714,314.8,6.0
T035,7555.514469625419,交接,109.1997836,23.007714,314.8,6.0
T035,7565.514469625419,交接,109.1997836,23.007714,314.8,6.0
T035,7575.514469625419,交接,109.1997836,23.007714,314.8,6.0
T035,7585.514469625419,交接,109.1997836,23.007714,314.8,6.0
T035,7595.514469625419,交接,109.1997836,23.007714,314.8,6.0
T035,7605.514469625419,交接,109.1997836,23.007714,314.8,6.0
T035,7615.514469625419,交接,109.1997836,23.007714,314.8,6.0
T035,7625.514469625419,交接,109.1997836,23.007714,314.8,6.0
T035,7625.514469625419,爬升,109.1997836,23.007714,314.8,0.0
T035,7634.064109517997,爬升,109.1997836,23.007714,340.44891967773435,0.0
T035,7642.613749410575,爬升,109.1997836,23.007714,366.09783935546875,0.0
T035,7642.613749410575,巡航,109.1997836,23.007714,366.09783935546875,0.0
T035,7652.268925708799,巡航,109.20119578636364,23.00775015909091,366.09783935546875,0.0
T035,7661.924102007021,巡航,109.20260797272728,23.007786318181818,366.09783935546875,0.0
T035,7671.579278305245,巡航,109.20402015909092,23.007822477272725,366.09783935546875,0.0
T035,7681.234454603468,巡航,109.20543234545455,23.007858636363636,366.09783935546875,0.0
T035,7690.889630901691,巡航,109.20684453181819,23.007894795454547,366.09783935546875,0.0
T035,7700.544807199914,巡航,109.20825671818181,23.007930954545454,366.09783935546875,0.0
T035,7710.199983498137,巡航,109.20966890454545,23.00796711363636,366.09783935546875,0.0
T035,7719.855159796361,巡航,109.21108109090909,23.008003272727272,366.09783935546875,0.0
T035,7729.510336094584,巡航,109.21249327727273,23.008039431818183,366.09783935546875,0.0
T035,7739.165512392807,巡航,109.21390546363637,23.00807559090909,366.09783935546875,0.0
T035,7748.82068869103,巡航,109.21531765,23.008111749999998,366.09783935546875,0.0
T035,7758.475864989254,巡航,109.21672983636364,23.00814790909091,366.09783935546875,0.0
T035,7768.131041287476,巡航,109.21814202272728,23.00818406818182,366.09783935546875,0.0
T035,7777.7862175857,巡航,109.21955420909092,23.008220227272727,366.09783935546875,0.0
T035,7787.441393883923,巡航,109.22096639545455,23.008256386363634,366.09783935546875,0.0
T035,7797.096570182146,巡航,109.22237858181819,23.008292545454545,366.09783935546875,0.0
T035,7806.75174648037,巡航,109.22379076818181,23.008328704545455,366.09783935546875,0.0
T035,7816.406922778592,巡航,109.22520295454545,23.008364863636363,366.09783935546875,0.0
T035,7826.062099076816,巡航,109.22661514090909,23.00840102272727,366.09783935546875,0.0
T035,7835.717275375039,巡航,109.22802732727273,23.00843718181818,366.09783935546875,0.0
T035,7845.372451673262,巡航,109.22943951363636,23.00847334090909,366.09783935546875,0.0
T035,7855.027627971485,巡航,109.2308517,23.0085095,366.09783935546875,0.0
T035,7855.027627971485,下降,109.2308517,23.0085095,366.09783935546875,0.0
T035,7864.5635415457045,下降,109.2308517,23.0085095,342.2580554199219,0.0
T035,7874.099455119923,下降,109.2308517,23.0085095,318.418271484375,0.0
T035,7883.635368694142,下降,109.2308517,23.0085095,294.5784875488281,0.0
T035,7893.17128226836,下降,109.2308517,23.0085095,270.73870361328125,0.0
T035,7902.7071958425795,下降,109.2308517,23.0085095,246.89891967773437,0.0
T035,7912.243109416799,下降,109.2308517,23.0085095,223.05913574218746,0.0
T035,7921.779022991017,下降,109.2308517,23.0085095,199.2193518066406,0.0
T035,7931.314936565236,下降,109.2308517,23.0085095,175.37956787109374,0.0
T035,7940.850850139454,下降,109.2308517,23.0085095,151.53978393554686,0.0
T035,7950.386763713674,下降,109.2308517,23.0085095,127.69999999999999,0.0
T036,6880.524932076295,准备装载,109.2308517,23.0085095,127.7,8.0
T036,6890.524932076295,准备装载,109.2308517,23.0085095,127.7,8.0
