uav_id,trip_id,phase,start_s,end_s,run_id
U07,T028,爬升,5193.437538344977,5291.521271255133,20260923_191417_344885
U07,T028,巡航,5291.521271255133,5830.1234787500125,20260923_191417_344885
U07,T028,下降,5830.1234787500125,5881.128144887708,20260923_191417_344885
U07,T028,交接,5881.128144887708,6241.128144887708,20260923_191417_344885
U07,T028,爬升,6241.128144887708,6281.931877797864,20260923_191417_344885
U07,T028,巡航,6281.931877797864,6820.534085292743,20260923_191417_344885
U07,T028,下降,6820.534085292743,6943.138751430439,20260923_191417_344885
U06,T029,准备装载,4842.592205327028,5172.592205327028,20260923_191417_344885
U06,T029,爬升,5172.592205327028,5317.2935847215595,20260923_191417_344885
U06,T029,巡航,5317.2935847215595,5801.505535158659,20260923_191417_344885
U06,T029,下降,5801.505535158659,5890.827190432096,20260923_191417_344885
U06,T029,交接,5890.827190432096,6070.827190432096,20260923_191417_344885
U06,T029,爬升,6070.827190432096,6145.261903159961,20260923_191417_344885
U06,T029,巡航,6145.261903159961,6629.473853597061,20260923_191417_344885
U06,T029,下降,6629.473853597061,6803.115508870498,20260923_191417_344885
U04,T030,准备装载,4878.88760552178,5208.88760552178,20260923_191417_344885
U04,T030,爬升,5208.88760552178,5299.067327608368,20260923_191417_344885
U04,T030,巡航,5299.067327608368,5941.958698368132,20260923_191417_344885
U04,T030,下降,5941.958698368132,6009.934364872039,20260923_191417_344885
U04,T030,交接,6009.934364872039,6189.934364872039,20260923_191417_344885
U04,T030,爬升,6189.934364872039,6246.580753625294,20260923_191417_344885
U04,T030,巡航,6246.580753625294,6889.472124385058,20260923_191417_344885
U04,T030,下降,6889.472124385058,6997.687790888964,20260923_191417_344885
U01,T031,准备装载,5610.058364465625,5940.058364465625,20260923_191417_344885
U01,T031,爬升,5940.058364465625,6019.524310917448,20260923_191417_344885
U01,T031,巡航,6019.524310917448,6285.041659118586,20260923_191417_344885
U01,T031,下降,6285.041659118586,6305.560794860774,20260923_191417_344885
U01,T031,交接,6305.560794860774,6485.560794860774,20260923_191417_344885
U01,T031,爬升,6485.560794860774,6502.66007464593,20260923_191417_344885
U01,T031,巡航,6502.66007464593,6768.177422847068,20260923_191417_344885
U01,T031,下降,6768.177422847068,6863.536558589256,20260923_191417_344885
U05,T032,准备装载,5716.575579302389,6046.575579302389,20260923_191417_344885
U05,T032,爬升,6046.575579302389,6149.221091183899,20260923_191417_344885
U05,T032,巡航,6149.221091183899,6468.187414626808,20260923_191417_344885
U05,T032,下降,6468.187414626808,6501.802028884621,20260923_191417_344885
U05,T032,交接,6501.802028884621,6681.802028884621,20260923_191417_344885
U05,T032,爬升,6681.802028884621,6709.814207432798,20260923_191417_344885
U05,T032,巡航,6709.814207432798,7028.780530875707,20260923_191417_344885
U05,T032,下降,7028.780530875707,7151.955145133519,20260923_191417_344885
U03,T033,准备装载,5880.999903927711,6210.999903927711,20260923_191417_344885
U03,T033,爬升,6210.999903927711,6301.4938451712005,20260923_191417_344885
U03,T033,巡航,6301.4938451712005,6705.5973766070765,20260923_191417_344885
U03,T033,下降,6705.5973766070765,6724.590106099264,20260923_191417_344885
