from_node,to_node,distance_m,max_dem_m,cruise_altitude_m,climb_m,descent_m,uav_type,flight_time_s
S001,S007,5187.883229802976,389.17535400390625,439.17535400390625,255.17535400390625,90.67535400390625,C,493.26670059038065
S001,S008,5968.208405123096,316.78717041015625,366.78717041015625,182.78717041015625,95.88717041015627,A,596.6346253943726
S001,S008,5968.208405123096,316.78717041015625,366.78717041015625,182.78717041015625,95.88717041015627,B,497.16448530898765
S001,S008,5968.208405123096,316.78717041015625,366.78717041015625,182.78717041015625,95.88717041015627,C,518.9390137106803
S001,S009,2651.198773865906,243.22891235351562,293.2289123535156,109.22891235351562,63.228912353515625,A,282.6344335480703
S001,S009,2651.198773865906,243.22891235351562,293.2289123535156,109.22891235351562,63.228912353515625,B,238.44778731697184
S001,S009,2651.198773865906,243.22891235351562,293.2289123535156,109.22891235351562,63.228912353515625,C,252.05260604255778
S001,S010,3709.894180127748,381.0796813964844,431.0796813964844,247.07968139648438,79.47968139648435,A,423.30961470140085
S001,S010,3709.894180127748,381.0796813964844,431.0796813964844,247.07968139648438,79.47968139648435,B,361.47804503260505
S001,S010,3709.894180127748,381.0796813964844,431.0796813964844,247.07968139648438,79.47968139648435,C,385.8979919320191
S001,S011,2354.0924594173175,226.38790893554688,276.3879089355469,92.38790893554688,64.28790893554688,A,252.68550483751085
S001,S011,2354.0924594173175,226.38790893554688,276.3879089355469,92.38790893554688,64.28790893554688,B,213.45063051388888
S001,S011,2354.0924594173175,226.38790893554688,276.3879089355469,92.38790893554688,64.28790893554688,C,226.03861533648
S001,S012,4697.683538665447,385.599609375,435.599609375,251.599609375,155.799609375,A,537.6600084304539
S001,S012,4697.683538665447,385.599609375,435.599609375,251.599609375,155.799609375,B,459.36528278602975
S001,S012,4697.683538665447,385.599609375,435.599609375,251.599609375,155.799609375,C,491.71855101519645
S001,S013,2898.825752847234,328.3608093261719,378.3608093261719,194.36080932617188,26.660809326171886,A,317.02007290979554
S001,S013,2898.825752847234,328.3608093261719,378.3608093261719,194.36080932617188,26.660809326171886,B,268.70631036234164
S001,S013,2898.825752847234,328.3608093261719,378.3608093261719,194.36080932617188,26.660809326171886,C,284.3297785833703
S001,S014,5196.211104521405,550.0504150390625,600.0504150390625,416.0504150390625,249.0504150390625,A,671.3212297387629
S001,S014,5196.211104521405,550.0504150390625,600.0504150390625,416.0504150390625,249.0504150390625,B,584.7177113300728
S001,S014,5196.211104521405,550.0504150390625,600.0504150390625,416.0504150390625,249.0504150390625,C,637.3594471699166
